x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,diagnosis
0.089554428,0.107816185,0.100782474,0.106430939,0.104142153,0.111698391,0.104659412,0.106392719,0.110936753,0.115720686,0
0.088861357,0.095414164,0.090639748,0.093801942,0.098758175,0.096678514,0.101172514,0.09458859,0.098492598,0.100489671,0
0.088098673,0.086396313,0.086489627,0.083947743,0.082364122,0.087819599,0.086879602,0.085629844,0.086328613,0.089895408,0
0.08914039,0.096074037,0.111786615,0.094328233,0.104697467,0.108579901,0.103405967,0.097682722,0.101741075,0.108348059,0
0.088328047,0.085446342,0.086220201,0.090296241,0.085271985,0.091173925,0.092318938,0.097520779,0.097674494,0.097528958,0
0.088278435,0.072755284,0.09600671,0.083621641,0.08662667,0.082599147,0.080178005,0.081236444,0.086577902,0.089227452,0
0.088148958,0.087614827,0.085212563,0.089205766,0.096487275,0.096250564,0.091431368,0.095082346,0.088303713,0.092430281,0
0.087688331,0.073718168,0.076439594,0.077559241,0.074353836,0.078063446,0.075588396,0.07447583,0.079112205,0.071188646,0
0.087943197,0.078788548,0.079147164,0.074572477,0.069746216,0.070475028,0.075409182,0.075747004,0.076720173,0.078679475,0
0.08846032,0.085237522,0.084830153,0.091174458,0.096331408,0.107014741,0.086663835,0.079442516,0.084299614,0.084014515,0
0.08863724,0.091711327,0.08879284,0.098628983,0.0993697,0.109673956,0.10014762,0.097504881,0.095413269,0.096440146,0
0.088818777,0.098454298,0.095778369,0.086640434,0.089183019,0.093210261,0.089889978,0.096728106,0.095802768,0.100898854,0
0.088500782,0.094343207,0.087577624,0.089529799,0.099723781,0.099523614,0.094306708,0.101078733,0.095740325,0.096667112,0
0.087802738,0.073183287,0.074684793,0.074998551,0.075606711,0.07157795,0.076822652,0.075253222,0.075954457,0.079359743,0
0.086948802,0.056948729,0.056515226,0.054244491,0.06006474,0.06544344,0.067037472,0.067056826,0.064385842,0.063917785,0
0.087282288,0.071698182,0.063682265,0.070670801,0.070617043,0.066473049,0.072111137,0.074499493,0.077637569,0.071364752,0
0.088597178,0.08909215,0.094460748,0.088017648,0.087708346,0.071526534,0.07762535,0.082676412,0.085644177,0.090393739,0
0.088238495,0.083350803,0.099101551,0.082351159,0.095983161,0.097923644,0.085267966,0.072372289,0.076016383,0.072792656,0
0.088923186,0.091492737,0.092018487,0.089564015,0.09314573,0.090775684,0.0960311,0.092303071,0.097457713,0.095195949,0
0.08827951,0.091106914,0.085393866,0.094960851,0.08777324,0.075629798,0.079124773,0.081620223,0.081526686,0.086324236,0
0.088822651,0.093016966,0.091315778,0.08484918,0.081088548,0.087055036,0.094247705,0.093531565,0.097001586,0.098354867,0
0.088917762,0.098069574,0.095043288,0.0934289,0.098653319,0.106419534,0.102926861,0.10233691,0.093804,0.098679316,0
0.088542344,0.093929854,0.103633376,0.101354287,0.094259781,0.10050502,0.095859165,0.084748798,0.086159453,0.086856983,0
0.088418501,0.083695166,0.084266466,0.084415044,0.095297401,0.090311905,0.094799084,0.092719673,0.091341394,0.083155321,0
0.088294815,0.090329564,0.0826489,0.09035651,0.078866479,0.077405794,0.08008444,0.085840573,0.089038461,0.083564823,0
0.088701348,0.111378794,0.105147649,0.111473924,0.12772502,0.098452135,0.105619041,0.096629807,0.098486825,0.094437689,0
0.089166697,0.108137311,0.101774146,0.101534147,0.098862873,0.103576908,0.100828701,0.099478598,0.099869886,0.099053789,0
0.089161192,0.108228222,0.093188933,0.104603318,0.09784133,0.100695161,0.107062302,0.113334722,0.105853605,0.099025326,0
